Andrei Chikatilo
“Andrei the Great (middle
"school), Butcher of Rostov"
and The Red Ripper”
""
""
Information researched and summarized by
"Christina Goss, Alyssa Gray, & Joshua Villalvazo"
""
Department of Psychology
Radford University
"Radford, VA  24142-6946"
""
""
Date Age Life Event
""
1930’s 0 Older Brother Stephan was abducted and cannibalized by town people.
10/16/1936 0 Born in Yablochnoye Ukraine with water on the brain.
1941 5 Mother told him about his brother.
1942-1943 7 Father left to fight in the war.
1947-1948 11-12 Was at the height of the famine. He and his sister would eat grass and leaves.
1948 12 Ate bread for the first time.
Would pray to have his father back from war; when his father came back later that
"1949 13 year, he was sick with tuberculosis and would spit up blood and would moan and"
lay on the bed
Tried to be better than all his classmates. Participated in literary and musical
1950 14
events and became editor of the schools newspaper.
1951 15 Completed 7th grade
"1952 16 Went to work at a brick factory in the summer time, had part of a wall fall on him"
"Cried when Stalin died, wanted to go to Moscow and believed that communism"
would soon conquer the world;
1953 17
That summer he worked on the farm and was using a horse-drawn rake for
harvesting and it fell on him
"Finished the 10th grade; he applied for Moscow University to study law, failed his"
1954  18 entry exam and wasn’t accepted into the University- he was convinced that he
didn’t get in because of his fathers war record
1960 24 Worked at a telephone engineer
1963 27 Met and married his wife Fayina (3 years younger than him)
1965 29 Had his first child; Lyudmilla
1969 33 Has his second and last child son Yuri
"Enrolled in a Rostov Liberal Arts University, got a degree in literature and"
1971 35
philology when he graduated he became a teacher
Tried to rape; didn’t get punished for it
"4/1973 37 Anna-one of his students, asked her to stay after school and then continued to beat"
"her with  ruler; all the while getting aroused, ejaculated in his pants"
1/1974,38,Gets “let go” from  teaching job
4/1978,41,"Chikatilo meets Tanya Petrosyan and they become lovers. Their relationship isshort due to Chikatilo’s impotence.  Both were married and neither spouse foundout."
9/1978,41,"Got laid off again, found new job as a warden at a school, his wife wanted to keeptabs on him and so she also got hired on staff to watch over him"
12/22/1978,42,"Killed his first victim. Lena Zakotnova 9 year old girl; lured her into the secondhouse, raped and strangled her, he stabbed her 3 times in the stomach and then hethrew her in a frozen stream. Later the police had him in custody as a suspect butthen another guy was tried and convicted for the crime.Molested 3 six year old girls"
9/3/1981,45,"Larisa Tkachenko- 17 years old; filled her mouth with dirt, strangled her and bitoff and ate her nipple"
6/12/1982,46,"Lyuba Biryuk- 13 years old, Lyuba Biryuk; stabbed her repeatedly and woundedher eyes, killed her and then rapped the corpse and then threw her and stuff intothe woods."
7/25/1982,46,"Lyuba Volobuyeva, 14, savagely killed during Chikatilo’s business trip to thesouthern region of Krasnodar"
8/13/1982,46,"Oleg Pozhidayev, 9, brutality murdered on another business trip"
8/16/1982,46,"Olya Kuprina, 16, brutality murdered back in the Rostov region"
9/1982,46,"Ira Karabelnikova and Sergei Kuzmin, within 9 days and a mile of each other,found stabbed to death"
12/11/1982,47,"Olya Stalmachenok, 10, found brutality tortured and murdered"
6/1983,47,"Laura Sarkisyan, 15, murdered, but body was never found; Police learned of thiscase through Chikatilo’s confessions"
