Peter Manuel
Beast of Birkenshaw
""
""
Information researched and summarized by:
"Jerry T. Atkins, Nicole Ballengee, & Kirsten Boyd"
""
Department of Psychology
Radford University
"Radford, VA 24142-6946"
""
""
Date Age Life Event
""
"03/15/1927 0 Born in Misericordia Hospital, Manhattan, New York. Peter has an"
"older brother, James who was born in 1925."
"1932 5 Moved from U.S. to Motherwell, Scotland, due to father being terribly"
ill and mother wanting to be around family for help
1934 7 Sister Teresa is born.
"1937 10 Attended Park St. Roman Catholic School in Motherwell, Scotland"
"1938 11 Family moved to Coventry, England"
"1939 12 First court appearance. Was bound for over 12 months for shoplifting,"
"breaking and entering, and larceny"
"1942 15 Broke into his teacher’s house, attacked his wife by beating her with a"
"candle stick holder, and then hid in the school’s nativity scene during"
the day. Charged with assault and breaking and entering.
06/24/1942 15 Went to Southport Juvenile Court on three charges of breaking into
houses.
03/15/1943 16 Appeared in front of the Market Weighton Court and was committed
to a borstal (youth prison) for two years.
1943 or 1944 (not Manuel was struck on the right side of his forehead by a piece of steel
real clear) from an air raid bomb attack. He was knocked unconscious for few
hours and was “blank minded” for a few days.
1944 Received an electric shock from his job that resulted in a loss of
consciousness as well as burns – three e coworkers died in the
incident. Peter had memory problems in the years following the
accident.
March 1945 17 Released from Rochester Borstal Institution
02/17/1946 18 Arrested for breaking into a home and stealing a watch.
02/21/1946 18 Released on bail.
03/03/1946 18 Attacked a mother of a 3-year old child in Mt. Vernon Glasgow. He
"",,"kicked and beat her brutally, but did not rape her."
03/07/1946,,"Four days after first attack, he attacked young nurse along Calder RdBellshill, only 6 miles from Mt. Vernon Glasgow, but didn’t rape her."
03/08/1946,,"Attacked a 26-year old female on Ferry Rd, Bothwell. He banged herhead against the ground and raped her."
03/09/1946,,Arrested for the attack of the March 8 victim.
03/21/1946,19,"Sent to prison for 12 months for 15 charges of breaking and enteringinto houses."
06/26/1946,,Appeared at High Court of Judiciary in Glasgow for the rape charge.
1946,,Convicted of committing rape.
1946,,"Appeared at Coventry, Ely, Cambridge, Darlington, Manchester, SouthPort, Hull, Beverly, Market Whiton, and Yorkshire courts for breakingand entering into houses and shops."
1946-1952,,Convicted for crimes not specified and spent the next 6 years in prison.
1953,26,Released from prison
1953,,Received a job at the Gas Board Company
1955,,"His engagement to Anne O’Hara was called off due to differencesabout religion."
1955,,"The same day his engagement was called off he abducted MaryMcLaughlan at knife point and attempted to rape her."
01/01/1956,28,"Killed 1st  victim in series, Anne Kneilands"
"",,"Killed 2nd  victim, Sydney Dunn"
September 1956,29,Gets a gun from Peter Hamilton
09/16/1956,,"Killed  3rd ,4th ,5th  victims (the Watt family)"
09/17/1956,,Watt family bodies are found by their housekeeper
12/28/1957,,Killed 6th victim Isabelle Cooke
01/01/1958,,"Killed 7th, 8th, 9th victims (the Smart Family)"
01/02/1958,,Gave Constable Robert Smith a ride to search area for Isabelle Cooke
01/13/1958,,Arrested for murder
01/16/1958,,"Body of Isabelle Cooke found. Manuel provides a written confessionfor the four sets of murders."
05/12/1958,31,Trial begins
05/29/1958,31,"4:00 p.m. – 13th day of trial, Peter announces he’s representing himself"
