"Robert Reldan“The Charmer”",,,,,
"Information researched and summarized byRobert Weber, Carl Mocarski, Samantha MoranDepartment of PsychologyRadford UniversityRadford, VA  24142-6946",,,,,
"",,,Age,,
Date,Age,,,,
"",,,,,
06/02/1940,0,"Born in Brooklyn, New York, as Robert Nadler to William andMarie Nadler. Robert later changed his last name to Reldan.",,,
1943,3,"His sister, Susan Nadler, was born.",,,
1951,11,"Family moves from New York to Fort Lee, New Jersey.",,,
01/11/1957,17,"Grabbed a woman by the throat and stole her purse outside of herNY apartment.",,,
03/27/1957,17,"Before Judge Joseph Schurman of Manhattan’s General SessionsCourt, Reldan pleads guilty. Reldan is classified as a juveniledelinquent and placed on indefinite probation.",,,
10/09/1957 - 10/12/1957,17,Committed a series of residential burglaries.,,,
12/19/1957,17,"Judge Martin Kole placed Reldan on indefinite probation in regardsto the burglary cases. Psychiatric examinations at Menlo Park StatePsychiatric Hospital a mandate of his probation",,,
01/13/1957 – 01/17/1958,17,"Psychiatrists determined that Reldan displayed a narcissisticcharacter disorder and had strong repressed hostility towardswomen.",,,
1958,17,"Reldan graduates from high school in Fort Lee, NJ",,,
07/17/1958,18,"Reldan is arrested in Closter, NJ for stealing five cars",,,
08/01/1958,18,"Reldan is taken to a New Jersey state hospital for observation. Thepsychiatrists diagnose Reldan with “sociopathic personalitydisturbance with anti-social” reaction.",,,
12/24/1958,18,Reldan is released from the state hospital into his parents’ custody.,,,
01/15/1959,18,"Reldan is found guilty of auto theft and is sentenced to indefiniteprobation.",,,
"February, 1959",18,"Reldan is arrested in New York for auto theft but charges are notfiled against him.",,,
03/24/1959,18,"Because the auto theft was a parole violation, Reldan is given a",,,
Age,
Age,
"",,three-year sentence to Great Meadows Reformatory n New York.
"January, 1962",21,Reldan is released from Great Meadows on parole.
02/25/1962,21,"Reldan sexually assaults A.H. (HF, 14) during a homeinvasion/robbery in Fort Lee, NJ"
1962,21-22,"Reldan leaves New Jersey and travels to Connecticut and NewJersey before arriving in Florida."
11/30/1962,22,"Arrested in Miami Beach for impersonating a police officer. DadeCounty authorities allowed Reldan a plea bargain, and his finalsentence was a 90 day suspended jail sentence."
"Spring, 1963",22,Reldan returns to New Jersey.
07/27/1963,23,"Reldan is arrested by Closter, NJ police for carrying a concealedweapon"
"August, 1963",23,"Reldan is arrested by North Arlington, NJ police for assault andbreaking and entering"
"Fall, 1963",23,"A Bergan County, NJ grand jury indicts Reldan for the February,1962 assault of A.H. in Fort Lee, NJ"
12/02/1963,23,"Reldan’s first criminal trial begins – committing assault withattempt to rape A.H., breaking and entering, and the theft ofmoney/jewelry. The trial resulted in a hung jury."
01/03/1964,23,"Reldan is arrested for six robberies occurring in New York Citybetween June 4 and July 23, 1963."
1964,,"Reldan reaches a plea agreement for the New York robberies andthe two New Jersey charges. Reldan is sentenced to five years inprison for the crimes. He first served his sentence in New Jerseyand then in New York."
09/15/1966,26,"Reldan is paroled early and goes to live with his parents in Closter,NJ."
04/27/1967,26,"Convinced B.C. to allow him entrance into her home in Teaneck,NJ (Bergan County), and then raped her."
04/29/1967,26,"Closter (a town in Bergan County, NJ) Police call Reldan in toquestion him in regards to an “unspecified police matter”. B.C.identifies Reldan as her attacker. Reldan is arrested and accused ofrape."
06/02/1967,27,Bergan County grand jury indicts Reldon for the rape of B.C.
07/13/1967,27,Reldan’s trial begins
07/17/1967,27,"Trial for the B.C. case resulted in a hung jury and a mistrial wasdeclared."
09/25/1967,27,"Retrial for the B.C. case began. This trial lasted three days, andresulted in Reldan’s conviction."
10/18/1967,27,"Because Reldan was convicted of a sex crime with the B.C. case,the State Diagnostic & Treatment Center (in Rahway, NJ) had toevaluate him to determine his status as a sexual predator•Results said Reldan “showed a compulsive pattern ofsexual behavior”, and noted that he strived “ingratiatingand manipulative”.•Reldan was sentenced to an indeterminate term not toexceed 30 years at the center for treatment of his“repetitive, compulsive pattern of sexual behavior”."
10/20/1970,30,Reldan is paroled after serving just over three years
03/16/1971,30,"William Prendergast (Robert’s friend) is hospitalized for backsurgery. Robert spent much of the day with him in the hospital butdeparted mid to late afternoon.•At approximately 8:00 p.m. Reldan entered B.M.’s (F, 31)car and held her at knifepoint. B.M. was able to escapeand contact authorities. Reldan was apprehended shortly"
"",,thereafter.
03/23/1971,30,Reldan’s parole is revoked and he is returned to Rahway prison.
"",,Reldan appears in court for his assault of B.M.. Initially he pleads
10/18/1971,31,"not-guilty, but subsequently accepts a plea bargain and pleads"
"",,guilty.
"",,Judge John E. Bachman accepts proposed plea bargain and Reldan
02/14/1972,31,"receives five to seven years, to be served in concurrence with the"
"",,B.C. rape.
"",,Mary Pryor (17) and Lorraine Kelly (16) reported missing from
08/10/1974,34,
"",,"North Bergen, NJ."
"",,Bodies of Mary Pryor and Lorraine Kelly are discovered raped and
08/14/1974,34,
"",,smothered near Montvale VA.
"",,Doreen Carlucci (14) and Joanne Delardo (15) disappeared from a
12/13/1974,34,
"",,church youth center in Woodbridge VA
"",,"Approximately two months after the girls were abducted, their"
"",,"bodies were discovered in Manalapan Township, NJ. One victim"
12/--/1974,34,"was discovered completely nude, the other wearing only a sweater"
"",,"and shoes. The weapon, an electrical cord, was still wrapped"
"",,around Doreen’s neck.
"",,"Reldan appears on David Frost’s television show, The Unspeakable"
05/--/1975,34,Crime. Pleads for better understanding and treatment for sex
"",,offenders.
"",,"Reldan is once again paroled, four years after the B.M. assault."
"",,(Reldan’s parole date conflicts with the possibility that he could
05/30/1975,34,
"",,"have been involved in the murders of Mary Pryor, Lorraine Kelly,"
"",,"Doreen Carlucci, and Joanne Delardo.)"
"",,"Robert marries his fiancée, Judy Rosenberg. They then move to an"
06/17/1975,35,
"",,"apartment on Central Avenue in Tenafly, New Jersey"
10/06/1975,35,"Susan Heynes (WF, 26) vanishes from her home in Haworth, NJ."
"",,Susan Haynes’ disappearance is noted in the evening edition of The
10/09/1975,35,
"",,Record.
"",,Coverage of the Heynes disappearance increases and kidnapping
"",,"possibility is addressed. Heynes’s old contacts in the US, Canada,"
10/10/1975,35,
"",,"England, South Africa are contacted but her whereabouts continue"
"",,to be unknown.
"",,"Susan Reeves (WF, 22) is abducted walking from the bus stop near"
"",,"her Demarest, NJ. Reports of a man in a maroon station wagon are"
"",,reported having followed Susan Reeves. Interstate toll plaza
10/14/1975,35,
