Roy Archibald Hall
Roy Fontaine
“The Monster Butler”
""
""
Information researched and summarized by
Sean Kelly
Dave McCarthy
Theodore Marshall
""
Department of Psychology
Radford University
"Radford, VA  24142-6946"
""
""
Date Age Life Event
""
"06/17/1924 0 Born in Glasgow, Scotland"
"1930 5 Mother dressed him for school, great student ."
"1940 15 Met Anne Phillips, worked in her news agency shop"
"Had sex with Phillips, wasn’t first sexual experience. He"
1940 16 fell in love with lavish lifestyle she provided; First time
stealing money and to Phillips; began robbing homes
Volunteered for Red Cross; oral sex w/ Polish freedom
1941 17
fighter; applied for merchant navy
1942 18 Attended many gay socialite parties
1944 20 Open up shop selling stolen goods
Introduced to Benzedrine; decided to close shop; robbed
"house and went to London; Beasons employees call police,"
1945 21
"arrested, then escaped to Glaskow; Later arrested while"
walking with mother
Spent two years in jail for burglary charge; met lifelong
1948 24
friend Wooton
1949 26 Released from jail; arrested again for robbing jewelry store
1952 28 Released from jail; parents split
"Stole around 100,000 lbs. of jewelry from Ester Henry w/"
1953 29
"help from Wooton, and got arrested"
1955 30 Released from jail; returned to Glasgow
1956,31,Arrested for robbery and gun possession; father dies
1963,38,"Released from jail; Wooton marries his mother; applied forbutler job for Charles Clore; insurance co. reveals criminalhistory and was forced to leave job before he could rob;soon arrested for 2 prior jewelry heists; arrested again for10 yrs. Then escaping w/ 2 others; had car accident gettingrear-ended by drunk teen, had chest injury"
1964,39,"Met Margaret and had her live w/ him in hotel as his“guest”; she was also 2 months pregnant"
"December, 1965",41,Margaret gave birth to Caroline around Christmas
1966,42,Arrested
1970,46,"Released from prison to serve as hostel; met Coggles; metand married Holmes; arrested again after receivingconfidential government letters"
1974,50,"Other jailhouse love Dave Bernard dies after 4 weeks afterrelease"
1975,51,"Stopped petty crimes when began job w/ Lady Hudson;plotted to rob her"
1977,52,"Killed David Wright, ex-lover and prison mate, shot in theback of the head with rifle, buried in Kirkleton,Dumfriesshire for disrupting robbery plot of Lady Hudson"
November 1977,53,"Begins working for Walter Scott-Elliot and his wifeDorothy"
Dec. 8 1977,53,"Rendezvous with ex-girlfriend/prostitute, Mary Coggle &was introduced to future accomplice Michael Kitto at a bar,and boasted about burglary plot to the Scott-Elliot’s apt. 7"
"Dec 8, 1977",53,"Involved w/ murder of Dorothy Scott-Elliot, wife ofemployer, but it was Kitto who suffocated her with pillowfor Dorothy walking in on Kitto and Hall discussing theirplot. They buried her in Comrie, Britain"
"Dec 12, 1977",53,"Killed Walter Scott-Elliot, employer, by strangulation andphysical beating with a spade to the head, which causeddeath. They buried him in Glen Affric, Britain"
"Dec 13, 1977",53,"Killed Mary Coggle, an accomplice-Irish cleaner, by bluntto the head with a poker and suffocated her with a plasticbag for telling friends and refusing to dispose Mrs. Scott-Elliot’s fur coat which is incriminating evidence, dumped inriver in Middlebie. Body found Dec. 25, 1977."
"Jan 14, 1978",53,"Hated Donald Hall, brother and ex-con (of 3 yrs forhousebreaking) /pedophile, killed him by chloroform anddrowned in a bath, found in the trunk of Fontaine’s whenarrested"
Jan 1978,53,"Fontaine and Kitto stay at hotel in North Berwick, ownergot suspicious and calls police"
"Jan 18,1978",53,Failed suicide bid with barbiturates in police holding cell
Jan. 1978,53,Suicide bid resulted in hospitalization for stomach pump
May 1978,53,"Hall sentenced to two life-terms for the murders of Wrightand Walter Scott-Elliott in Edinburgh"
"",53-75,Jail sentence continues
1999,75,Writes autobiography
2002,78,"Dies in Kingston prison, Portsmouth"
"",General Information,
Sex,Male,
Race,White,
Number of victims,5 confirmed,,,,
Country where killing occurred,Great Britain,,,,
States where killing occurred,"Mostly Scotland, England",,,,
Cities where killing occurred,"Dumbfriesshire, London, Cumbria",,,,
Type of killer,"Tried to conceal crimes, thief",,,,
Height,-,,,,
"",Childhood Information,,,,
Date of birth,"June 17, 1924",,,,
Location,"Glasgow, Scotland",,,,
Birth order,First born,,,,
Number of siblings,"Brother, adopted sister",,,,
XYY?,,,,,
Raised by,Parents,,,,
Birth category,,,,,
Parent’s marital status,Married but currently divorced,,,,
Family event,Put knife to fathers throat over jacket,,,,
Age of family event,16,,,,
Problems in school?,No,,,,
Teased while in school?,No,,,,
Physically attractive?,yes,,,,
Physical defect?,Became seriously ill around 1950,,,,
Speech defect?,no,,,,
Head injury?,no,,,,
Physically abused?,no,,,,
Psychologically abused?,no,,,,
Sexually abused?,No he consented,,,,
Father’s occupation,Military and post office (sorting clerk),,,,
Age of first sexual experience,-,,,,
Age when first had intercourse,15,,,,
Mother’s occupation,homemaker,,,,
Father abused drugs/alcohol,No,,,,
Mother abused drugs/alcohol,no,,,,
"",Cognitive Ability,,,,
Highest grade in school,-,,,,
Highest degree,GED,,,,
Grades in school,Very good,,,,
IQ,-,,,,
Source of IQ information,-,,,,
"",Work History,,,,
Served in the military?,No,,,,
Branch,n/a,,,,
Type of discharge,n/a,,,,
Saw combat duty,n/a,,,,
Killed enemy during service?,n/a,,,,
Applied for job as a cop?,No,,,,
Worked in law enforcement?,No,,,,
Fired from jobs?,No,,,,
Types of jobs worked,"Butler, odd jobs as a teen such as news shop",,,,
Employment status during series,Employed on and off as a butler,,,,
"",Relationships,,,,
"",,,,,
Sexual preference,Bisexual,,,,
Marital status,Short-lived marriage to woman with homosexual affairs,,,,
Serial Killing
Serial Killing
Number of children,0,
Lives with his children,no,
Living with,"Accomplices, butler for couple that was killed",
"",Triad,
Animal torture,no,
Fire setting,no,
Bed wetting,no,
"",Killer Psychological Information,
Abused drugs?,"Claims to have stolen a doctor’s medical bag but disposedof it with no usage. Barbiturate suicide attempt in prison.",
Abused alcohol?,No,
Been to a psychologist?,"Yes,  January 1943",
Time in forensic hospital?,Yes but escaped,
Diagnosis,Psychopathic,
"",Killer Criminal History,
Committed previous crimes?,Tried to sell stolen jewelry in London from Scotland,
Spend time in jail?,Yes,
Spend time in prison?,Yes,
Killed prior to series?  Age?,no,
Serial Killing,,
Serial Killing,,
Number of victims,5,
Victim type,"Brother, ex-lover, accomplice, employers",
Killer age at start of series,52,
Date of first kill in series,1977,
Date of final kill in series,4/1/78,
Gender of victims,Male and female,
Race of victims,white,
Age of victims,20-82 mostly young victims,
Type of victim,"employers, friends, family",
Method of killing,"Gun, suffocation, strangulation, drowning, beating",
Weapon,"Gun, spade",
Was gun used?,"Yes, David Wright",
Type,Rifle shot to the back of the head,
Did killer have a partner?,Yes. Three partners,
Name of partner,"Marry Coggle, Michael Kitto, Wright",
Sex of partner,"Female, Male",
Type of serial killer,"Hedonist, Power seeker>revenge w/some anti-social",
How close did killer live?,Within boarders of country,
Location of first contact,"Prison, David Wright",
Location of killing,"Great Britain, Kirtleton House Grounds",
Killing occurred in home of victim?,"Yes, Walter Scott-Elliot and wife Dorothy",
Killing occurred in home of killer?,"Holiday house, Cumbria, Britain",
Victim abducted or killed at contact?,"Abducted: Wright, Scott-Elliot",
Behavior During Crimes,,
Rape?,No,
Tortured victims?,"Suffocation, beating",
Stalked victims?,"Worked for them, butler",
Overkill?,No,
