""
""
Margie Velma Barfield
“Death Row Granny”
“Mama Margie”
""
Information summarized and researched by:
Mindy Griffith
Christen McWhorter
Carrie Maupin
Samantha Martin
""
""
Department of Psychology
Radford University
"Radford, VA  24142-6946"
""
""
""
Date Age Life Event
""
10/29/1932 0 Margie Velma Bullard was born in South Carolina to Murphy and Lillie Bullard.
She was the oldest girl and second of a large family of nine children.
"1934 0-2 She lived in Wade, NC on her father’s small farm.  Her home had no electricity or"
running water and no outhouse.  She learned to take trips to the woods or use
chamber pots to relieve herself.
1937 0-5 She slept in the same bedroom with her parents through high school.  Her father
"physically abused her mother, was hot tempered, and went on “drinking binges.”"
She feared him throughout her childhood.
"1939 7 Velma begins first grade.  She likes school and her teacher, working very hard"
achieving good grades.
1942 0-10 Her father worked late shift at a textile mill so she didn’t see him much.
"1943 11 Velma’s chores included keeping the house, washing and ironing clothing, and"
mending for a family of 11.  Her father would dismiss her from school early on days
that she needed to do extra laundry because using the wash board took so long.
Velma resented this.
"1944 12 Velma begins cooking all of her family’s meals, each day."
1945 0-13 Twice each summer her family sent her to Presbyterian Bible School.
"1945 13 Velma’s father surprises her and buys her an expensive pink, ruffled gown and it the"
happiest day that she can remember.
8/45 13 Velma’s family moves to Robeson county where she meets Thomas Burke.
10/45 13 Velma stays home from school being ill with the flu and her father rapes her.
1947 15 Velma is chosen to be on her school basketball team but her parents do not allow it
because she had too many chores.  This angered her.
1948 16 She begins regularly attending the Baptist church and was baptized.  She begins to
date Thomas Burke after waiting many months for her 16th birthday to arrive so her
father would allow her to date.
1949,17,Thomas Burke proposes to Velma at a local movie theatre.
1949,17,"She runs away and gets married to Thomas in Dillon, SC but only does this to getaway from home."
1949,17,Thomas quits school and begins working at a textile mill in Red Springs.
1950,18,"She moves in with Thomas and his parents, attending the Baptist church with them."
1951,19,"Thomas quits his job and they move to Wade, near Velma’s parents.  There Thomasworks for a soft drink company."
10/12/1951,19,"Velma gives birth to a son she named Ronnie and moves back to Parkton where sheand Thomas would rent a house for eleven years."
9/3/53,21,"Velma gives birth to a daughter named Kim and she begins to go to church regularlywith her children, even teaching a church Sunday school class."
1955,23,"Velma is hit, as a pedestrian, by a drunk driver and is hospitalized.  While in thehospital she went through a period of depression."
1958,26,"Velma begins working a textile mill in Raeford causing her to see Thomas less oftenbecause of their conflicting work hours."
1962,30,"Velma begins hemorrhaging and feeling tired so her Doctor performs ahysterectomy."
1963,31,"Thomas’ mother gives the couple one acre of land outside Parkton where Thomasbuilds a three bedroom house."
1963,31,"She claims to begin having a “problem with her nerves” because of the surgery,causing her to constantly be “tense”.  She constantly felt nervous and afraid."
1965,33,"Thomas begins drinking after joining a civil organization, the Jaycees.  Velmaabhors alcohol and is concerned about his drinking."
1966,34,"Her husband drinks “regularly and heavily” as an alcoholic.  It has caused a changein his personality.  He hits Velma in a drunken rage and his drinking beginsincreasingly causing marital discord and arguments."
1966,34,"Velma calls the police and has her husband sent to Dorothea Dix State Hospital forhis excessive drinking.  Thomas leaves the hospital three days later enraged at herfor sending him there and embarrassing him."
1966,34,Thomas looses his job because of his absenteeism and alcoholism.
